# ==============================================================================
# = this is a lyndis reference file. Lines that start with '#' like this one are
# = comments, and are ignored by lyndis. lyndis also ignores any blank lines.
# =
# = this file describes information about the base binary, such as its location
# = within the address space, what objects are available, and which regions can
# = be considered "free space".
# =
# = lyndis is very experimental: don't expect the format to be stable.
# ==============================================================================

# define where the binary (ROM) is locacted within the address space
binary 0x08000000 0x02000000

# define which regions are "free space" by default
free 0x0869B668 0x00004998
free 0x087FF0A4 0x00000F5C
free 0x08800000 0x01800000

# all existing objects (symbols)

# generated by elf2ref on 2025-03-22

dat 0x0201F00C gEkrBgPaletteBackup3 0x00
dat 0x0201F04C gUnk_Banim_0201F04C 0x00
dat 0x0201F050 gUnk_Banim_0201F050 0x00
dat 0x0201F054 gpProcEkrClasschg 0x00
dat 0x0201F058 gpProcEkrLevelup 0x00
dat 0x0201F05C gUnk_Banim_0201F05C 0x00
dat 0x0201F07C gUnk_Banim_0201F07C 0x00
dat 0x0201F080 gUnk_Banim_0201F080 0x00
dat 0x0201F084 gUnk_Banim_0201F084 0x00
dat 0x0201F0AC gpEkrLvupUnit 0x00
dat 0x0201F0B0 gpEkrLvupBattleUnit 0x00
dat 0x0201F0B4 gEkrLvupPreLevel 0x00
dat 0x0201F0B6 gEkrLvupPostLevel 0x00
dat 0x0201F0B8 gEkrLvupBaseStatus 0x00
dat 0x0201F0C8 gEkrLvupPostStatus 0x00
dat 0x0201F0D8 gUnk_Banim_0201F0D8 0x00
dat 0x0201F0DA gUnk_Banim_0201F0DA 0x00
dat 0x0201F0DC gEkrTriangleInvalid 0x00
dat 0x0201F0E0 gpProcEkrPopup 0x00
dat 0x0201F0E4 gEkrPopupDone 0x00
dat 0x0201F0E8 gBuf 0x2000
dat 0x020210E8 gFadeComponentStep 0x20
dat 0x02021108 gFadeComponents 0x600
dat 0x02021708 gPal 0x400
dat 0x02021B08 gBg0Tm 0x800
dat 0x02022308 gBg1Tm 0x800
dat 0x02022B08 gBg2Tm 0x800
dat 0x02023308 gBg3Tm 0x800
dat 0x02023B08 gBgMapVramTable 0x10
dat 0x02023B18 MainFunc 0x04
dat 0x02023B1C pad_02023B1C 0x04
dat 0x02023B20 gKeyStObj 0x14
dat 0x02023B34 gMoveStats 0x08
dat 0x02023B3C gMoveList 0x180
dat 0x02023CBC sSoundSt 0x08
dat 0x02023CC4 sProcArray 0x1B00
dat 0x020257C4 sProcAllocList 0x104
dat 0x020258C8 sProcAllocListHead 0x04
dat 0x020258CC gProcTreeRootArray 0x20
dat 0x020258EC sIconStTable 0x280
dat 0x02025B6C sIconDisplayList 0x20
dat 0x02025B8C sDebugTextSt 0x2014
dat 0x02027BA0 gNumberStr 0x09
dat 0x02027BAC sDebugOam2Chr 0x04
dat 0x02027BB0 sDebugOam2Pal 0x04
dat 0x02027BB4 gDefaultFont 0x18
dat 0x02027BCC gActiveFont 0x04
dat 0x02027BD0 sSpecialCharStList 0x100
dat 0x02027CD0 sBasPool 0xE10
dat 0x02028AE0 sFirstBas 0x04
dat 0x02028AE4 sSpritePool 0x800
dat 0x020292E4 sSpriteLayers 0x100
dat 0x020293E4 gFaceConfig 0x20
dat 0x02029404 sMsgString 0x1000
dat 0x0202A404 sActiveMsg 0x04
dat 0x0202A408 sPalFadeSt 0x600
dat 0x0202AA08 gBmSt 0x40
dat 0x0202AA48 gPlaySt 0x20
dat 0x0202AA68 sLastCoordMapCursorDrawn 0x04
dat 0x0202AA6C sLastTimeMapCursorDrawn 0x04
dat 0x0202AA70 sCameraAnimTable 0x100
dat 0x0202AB70 gActiveUnitId 0x01
dat 0x0202AB74 gActiveUnitMoveOrigin 0x04
dat 0x0202AB78 gUnitArrayBlue 0x1170
dat 0x0202BCE8 gUnitArrayRed 0xE10
dat 0x0202CAF8 gUnitArrayGreen 0x5A0
dat 0x0202D098 gUnitArrayPurple 0x168
dat 0x0202D200 gMapSize 0x04
dat 0x0202D204 gMapUnit 0x04
dat 0x0202D208 gMapTerrain 0x04
dat 0x0202D20C gMapMovement 0x04
dat 0x0202D210 gMapRange 0x04
dat 0x0202D214 gMapFog 0x04
dat 0x0202D218 gMapHidden 0x04
dat 0x0202D21C gMapOther 0x04
dat 0x0202D220 sMapUnitData 0x7B8
dat 0x0202D9D8 sMapTerrainData 0x7B8
dat 0x0202E190 sMapFogData 0x7B8
dat 0x0202E948 sMapHiddenData 0x7B8
dat 0x0202F100 sMapOtherData 0x7B8
dat 0x0202F8B8 sTilesetInfo 0x2400
dat 0x02031CB8 sMapMetatiles 0xF70
dat 0x02032C28 gWorkingMoveScr 0x40
dat 0x02032C68 gSubjectUnit 0x04
dat 0x02032C6C gUnitSpriteSlots 0xD0
dat 0x02032D3C gUnitSpriteBuf 0x6000
dat 0x02038D3C gUnitSpriteSmallAllocCount 0x04
dat 0x02038D40 gUnitSpriteLargeAllocCount 0x04
dat 0x02038D44 gUnitSprites 0x4B0
dat 0x020391F4 gNextFreeUnitSprite 0x04
dat 0x020391F8 gUnitSpriteSyncRequest 0x04
dat 0x020391FC gUnitSpriteHoverClock 0x04
dat 0x02039200 gBattleSt 0x14
dat 0x02039214 gBattleUnitA 0x7C
dat 0x02039290 gBattleUnitB 0x7C
dat 0x0203930C gBattleHits 0x1C
dat 0x02039328 gBattleHitIt 0x04
dat 0x02039330 sTraps 0x100
dat 0x02039430 sSupplyItems 0xC8
dat 0x020394F8 sUnitBuf 0x04
dat 0x020394FC sUnitBufIt 0x04
dat 0x02039500 sNextId 0x01
dat 0x02039504 gArenaSt 0x20
dat 0x02039524 gArenaOpponent 0x48
dat 0x0203956C gAction 0x18
dat 0x02039584 sMovePathObj 0x6C
dat 0x020395F0 sRescueUnitPanels 0x08
dat 0x020395F8 gAiSt 0x90
dat 0x02039688 gAiDecision 0x0C
dat 0x02039694 gUnk_Pid_02039694 0x01
dat 0x0203C9D4 gPrevUiHandPutPosition 0x04
dat 0x0203C9D8 gPrevUiHandClockFrame 0x04
dat 0x0203C9DC gMapSelectOrigin 0x04
dat 0x0203C9E0 gTargetList 0x300
dat 0x0203CCE0 gTargetCount 0x04
dat 0x0203CCE4 gBanimLinkArenaFlag 0x04
dat 0x0203CCE8 gBattleDeamonActive 0x04
dat 0x0203CCEC gpProcEkrBattleDeamon 0x04
dat 0x0203CCF0 gEkrDebugModeMaybe 0x02
dat 0x0203CCF2 gBanimBG 0x00
dat 0x0203CCF4 gEkrInitialHitSide 0x00
dat 0x0203CCF6 gEkrSnowWeather 0x00
dat 0x0203CCF8 gBanimValid 0x00
dat 0x0203CCFC gBanimPositionIsEnemy 0x00
dat 0x0203CD00 gBanimIdx_bak 0x00
dat 0x0203CD04 gBanimUniquePal 0x00
dat 0x0203CD08 gBanimFactionPal 0x00
dat 0x0203CD0C gEkrSpellAnimIndex 0x00
dat 0x0203CD10 gBanimFloorfx 0x00
dat 0x0203CD14 gEkrDistanceType 0x00
dat 0x0203CD16 gEkrBmLocation 0x00
dat 0x0203CD46 gEfxHpLutOff 0x00
dat 0x0203CD4A gEfxHpLut 0x00
dat 0x0203CD76 gBanimIdx 0x00
dat 0x0203CD7C gpEkrBattleUnitLeft 0x00
dat 0x0203CD80 gpEkrBattleUnitRight 0x00
dat 0x0203CD84 gEkrPids 0x00
dat 0x0203CD88 gpEkrTriangleUnits 0x00
dat 0x0203CD90 gpBanimTriAtkPalettes 0x00
dat 0x0203CD98 gBanimUnitChgForceImg 0x00
dat 0x0203CDA0 gEkrGaugeHp 0x00
dat 0x0203CDA4 gBanimMaxHP 0x00
dat 0x0203CDA8 gEkrGaugeHpBak 0x00
dat 0x0203CDAC gEkrGaugeHit 0x00
dat 0x0203CDB0 gEkrGaugeDmg 0x00
dat 0x0203CDB4 gEkrGaugeCrt 0x00
dat 0x0203CDB8 gBanimExpPrevious 0x00
dat 0x0203CDBC gBanimExpGain 0x00
dat 0x0203CDC0 gBanimTerrain 0x00
dat 0x0203CDC4 gBanimCon 0x00
dat 0x0203CDC8 gBanimWtaBonus 0x00
dat 0x0203CDCC gBanimEffectiveness 0x00
dat 0x0203CDD0 gBanimUniquePaletteDisabled 0x00
dat 0x0203CDE0 gEkrDragonJid 0x00
dat 0x0203CDE4 gManimSt 0x64
dat 0x0203CE48 gManimScanlineBufA 0x280
dat 0x0203D0C8 gManimScanlineBufB 0x280
dat 0x0203D348 gManimScanlineBufs 0x08
dat 0x0203D350 gManimActiveScanlineBuf 0x04
dat 0x0203D354 gUnk_0203D354 0x00
dat 0x0203D358 gUnk_0203D358 0x00
dat 0x0203D35C gUnk_0203D35C 0x00
dat 0x0203D35D gUnk_0203D35D 0x00
dat 0x0203D360 gUnk_0203D360 0x00
dat 0x0203D361 gUnk_0203D361 0x00
dat 0x0203D362 gUnk_0203D362 0x00
dat 0x0203D364 gUnk_0203D364 0x00
dat 0x0203D368 gUnk_0203D368 0x00
dat 0x0203D36C gUnk_0203D36C 0x00
dat 0x0203D370 gUnkText_0203D370 0x00
dat 0x0203D3A0 gUnkText_0203D3A0 0x00
dat 0x0203D3D8 gUnk_0203D3D8 0x00
dat 0x0203D3D9 gUnk_0203D3D9 0x00
dat 0x0203D3DC gStatScreenInfo 0x04
dat 0x0203D3E0 gMutableHelpBoxInfo 0x1C
dat 0x0203D3FC gLastHelpBoxInfo 0x04
dat 0x0203D400 gHelpBoxOrigin 0x04
dat 0x0203D404 gUnk_0203D404 0x04
dat 0x0203D408 unused_0203D408 0x04
dat 0x0203D40C gUnk_0203D40C 0x34
dat 0x0203D45C gUnk_0203D45C 0x04
dat 0x0203D460 gUnk_0203D460 0x34
dat 0x0203D494 SioPidPool 0x00
dat 0x0203D524 gUnk_0203D524 0x0A
dat 0x0203D52E gIsSramWorking 0x01
dat 0x0203D530 gPidStatsSram 0x04
dat 0x0203D534 gPidStats 0x460
dat 0x0203D994 gChapterStats 0x80
dat 0x0203DA14 gSuspendSaveIdOffset 0x01
dat 0x0203DA18 gMultiArenaSaveTeamBufA 0xD8
dat 0x0203DAF0 gMultiArenaSaveTeamBufB 0xD8
dat 0x0203DBC8 gExtraMapSaveHead 0x1C
dat 0x0203DBE4 gExtraChapterStats 0x04
dat 0x0203DCA7 gUnk_0203DCA7 0x00
dat 0x0203DCB8 gShopItemTexts 0x00
dat 0x0203DD04 gShopSt 0x00
dat 0x02040000 EWRAM_END 0x00
dat 0x03000000 ANFMT_INS_TYPE_MOVE 0x00
dat 0x03000008 sRandStB 0x04
dat 0x0300000C sBgSyncBits 0x01
dat 0x0300000D sPalSyncFlag 0x01
dat 0x03000010 sGameTime 0x04
dat 0x03000014 sUnk_03000014 0x01
dat 0x03000015 sUnk_03000015 0x01
dat 0x03000018 sOamHi 0x0C
dat 0x03000028 sOamLo 0x0C
dat 0x03000038 sTalkStObj 0x80
dat 0x030000B8 sTalkText 0x18
dat 0x030000D0 sTalkChoiceResult 0x04
dat 0x030000D8 sTalkFont 0x18
dat 0x030000F0 sUnk_030000F0 0x04
dat 0x030000F4 sPopupUnit 0x04
dat 0x030000F8 sPopupItem 0x02
dat 0x030000FC sPopupNumber 0x04
dat 0x03000100 sAnims 0x320
dat 0x03000420 sText_03000420 0x08
dat 0x03000428 sInitializingMap 0x04
dat 0x03000430 sMapMovementData 0x7B8
dat 0x03000BE8 sMapRangeData 0x7B8
dat 0x030013A0 sScrEnded 0x01
dat 0x030013A4 sScrKind 0x04
dat 0x030013A8 sScr 0x04
dat 0x030013AC sScrFunc 0x04
dat 0x030013B0 sCombatScoreCoefficients 0x04
dat 0x030013B8 gUnk_030013B8 0x00
dat 0x030013BC gUnk_030013BC 0x00
dat 0x030013C0 gUnk_030013C0 0x00
dat 0x030013C4 gUnk_030013C4 0x00
dat 0x030013C8 gUnk_030013C8 0x00
dat 0x030013CA gUnk_030013CA 0x00
dat 0x030013D0 gUnk_030013D0 0x00
dat 0x030013D8 gUnk_030013D8 0x00
dat 0x030013E0 gUnk_030013E0 0x00
dat 0x030013E4 gUnk_030013E4 0x00
dat 0x030013E8 gUnk_030013E8 0x00
dat 0x030013F0 gUnk_030013F0 0x00
dat 0x03001404 gUnk_03001404 0x00
dat 0x03001408 gUnk_03001408 0x00
dat 0x0300140C gUnk_0300140C 0x00
dat 0x03001410 gUnk_03001410 0x00
dat 0x03001418 gUnk_03001418 0x00
dat 0x03001428 gUnk_03001428 0x00
dat 0x03001438 gUnk_03001438 0x00
dat 0x03001440 sMuConfig 0x130
dat 0x03001570 Text_GoldBox 0x00
dat 0x03002158 verifySramFast_Work 0xA0
dat 0x030021F8 readSramFast_Work 0x80
dat 0x030022A0 SoundMainRam 0x400
dat 0x030026A0 gOamLoPutIt 0x04
dat 0x030026B0 gDispIo 0x6C
dat 0x03002720 gIrqFuncs 0x00
dat 0x03002758 MapFloodCoreRamFunc 0x00
dat 0x0300275C gOamAffinePutId 0x02
dat 0x03002760 PutOamHiRamFunc 0x00
dat 0x03002764 gOnHBlankA 0x04
dat 0x03002770 gOam 0x400
dat 0x03002D70 DrawGlyphRamFunc 0x00
dat 0x03002D74 gOamHiPutIt 0x04
dat 0x03002D78 gOnHBlankB 0x04
dat 0x03002D80 RamFuncArea 0x00
dat 0x03003780 DecodeStringRamFunc 0x00
dat 0x03003784 PutOamLoRamFunc 0x00
dat 0x03003788 gOamAffinePutIt 0x04
dat 0x03003790 IntrMainRam 0x00
dat 0x03003F90 MapFloodCoreStepRamFunc 0x00
dat 0x03003FA0 gEventScriptQueueIt 0x00
dat 0x03003FB0 gEventScriptQueue 0x00
dat 0x03003FD0 gSpriteAllocIt 0x00
dat 0x03004000 gFaces 0x10
dat 0x03004010 gWorkingMap 0x00
dat 0x03004020 gMapFloodSquareBufB 0x00
dat 0x03004220 gWorkingMovTable 0x00
dat 0x03004260 gStatGainSimUnit 0x00
dat 0x030042B0 gMapFloodSquareBufA 0x00
dat 0x030044B0 gActiveUnit 0x00
dat 0x030044C0 gMapFloodSt 0x00
dat 0x030044D0 gUnk_030044D0 0x00
dat 0x030044D4 gUnk_030044D4 0x00
dat 0x030044E0 gUnk_030044E0 0x00
dat 0x030044E6 gUnk_030044E6 0x00
dat 0x03004568 gUnk_03004568 0x00
dat 0x0300456C gUnk_0300456C 0x00
dat 0x03004570 AiDecideFunc 0x04
dat 0x03004580 gUnk_03004580 0x00
dat 0x03004600 gManimDebugStObj 0xD0
dat 0x030046D0 gUnk_030046D0 0x80
dat 0x03004750 gUnk_03004750 0x140
dat 0x03004890 gPermanentFlagBits 0x00
dat 0x03004898 gChapterFlagBits 0x00
dat 0x030048A4 gUnk_030048A4 0x00
dat 0x030048A8 gUnk_030048A8 0x00
dat 0x030048B8 gUnk_030048B8 0x00
dat 0x030048C0 gUnk_030048C0 0x00
dat 0x030048D4 gUnk_030048D4 0x00
dat 0x030048E0 gWmArrowSt 0x00
dat 0x03005280 gUnk_03005280 0x00
dat 0x03005284 bool_opanim_03005284 0x00
dat 0x03005290 gUnk_03005290 0x00
dat 0x030052B0 gSoundInfo 0xFB0
dat 0x03006260 gMusicPlayer_03006260 0x00
dat 0x030062A0 gMusicPlayer_030062A0 0x00
dat 0x030062E0 gMusicPlayer_FightBgm 0x00
dat 0x03006320 gMPlayJumpTable 0x90
dat 0x030063B0 gCgbChans 0x100
dat 0x030064B0 gMusicPlayer_030064B0 0x00
dat 0x030064F0 gMusicPlayer_MainBgm 0x00
dat 0x03006530 gMusicPlayer_03006530 0x00
dat 0x03006570 gMusicPlayer_03006570 0x00
dat 0x030065B0 gMPlayMemAccArea 0x10
dat 0x03006600 gMusicPlayer_03006600 0x00
dat 0x03006640 ReadSramFast 0x04
dat 0x03006644 VerifySramFast 0x04
dat 0x03007FF0 SOUND_INFO_PTR 0x00
dat 0x03007FF8 INTR_CHECK 0x00
dat 0x03007FFC INTR_VECTOR 0x00
dat 0x03008000 IWRAM_END 0x00
dat 0x04000000 ANFMT_INS_TYPE_WAIT 0x00
dat 0x04000004 REG_DISPSTAT 0x00
dat 0x04000006 REG_VCOUNT 0x00
dat 0x04000008 REG_BG0CNT 0x00
dat 0x0400000A REG_BG1CNT 0x00
dat 0x0400000C REG_BG2CNT 0x00
dat 0x0400000E REG_BG3CNT 0x00
dat 0x04000010 REG_BG0HOFS 0x00
dat 0x04000012 REG_BG0VOFS 0x00
dat 0x04000014 REG_BG1HOFS 0x00
dat 0x04000016 REG_BG1VOFS 0x00
dat 0x04000018 REG_BG2HOFS 0x00
dat 0x0400001A REG_BG2VOFS 0x00
dat 0x0400001C REG_BG3HOFS 0x00
dat 0x0400001E REG_BG3VOFS 0x00
dat 0x04000020 REG_BG2PA 0x00
dat 0x04000022 REG_BG2PB 0x00
dat 0x04000024 REG_BG2PC 0x00
dat 0x04000026 REG_BG2PD 0x00
dat 0x04000028 REG_BG2X_L 0x00
dat 0x0400002A REG_BG2X_H 0x00
dat 0x0400002C REG_BG2Y_L 0x00
dat 0x0400002E REG_BG2Y_H 0x00
dat 0x04000030 REG_BG3PA 0x00
dat 0x04000032 REG_BG3PB 0x00
dat 0x04000034 REG_BG3PC 0x00
dat 0x04000036 REG_BG3PD 0x00
dat 0x04000038 REG_BG3X_L 0x00
dat 0x0400003A REG_BG3X_H 0x00
dat 0x0400003C REG_BG3Y_L 0x00
dat 0x0400003E REG_BG3Y_H 0x00
dat 0x04000040 REG_WIN0H 0x00
dat 0x04000042 REG_WIN1H 0x00
dat 0x04000044 REG_WIN0V 0x00
dat 0x04000046 REG_WIN1V 0x00
dat 0x04000048 REG_WININ 0x00
dat 0x0400004A REG_WINOUT 0x00
dat 0x0400004C REG_MOSAIC 0x00
dat 0x04000050 REG_BLDCNT 0x00
dat 0x04000052 REG_BLDALPHA 0x00
dat 0x04000054 REG_BLDY 0x00
dat 0x04000060 REG_NR10 0x00
dat 0x04000062 REG_NR11 0x00
dat 0x04000063 REG_NR12 0x00
dat 0x04000064 REG_NR13 0x00
dat 0x04000065 REG_NR14 0x00
dat 0x04000068 REG_NR21 0x00
dat 0x04000069 REG_NR22 0x00
dat 0x0400006C REG_NR23 0x00
dat 0x0400006D REG_NR24 0x00
dat 0x04000070 REG_NR30 0x00
dat 0x04000072 REG_NR31 0x00
dat 0x04000073 REG_NR32 0x00
dat 0x04000074 REG_NR33 0x00
dat 0x04000075 REG_NR34 0x00
dat 0x04000078 REG_NR41 0x00
dat 0x04000079 REG_NR42 0x00
dat 0x0400007C REG_NR43 0x00
dat 0x0400007D REG_NR44 0x00
dat 0x04000080 REG_NR50 0x00
dat 0x04000081 REG_NR51 0x00
dat 0x04000082 REG_SOUNDCNT_H 0x00
dat 0x04000084 REG_NR52 0x00
